# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
128000 -1.28786e-14 8.88178e-15 1.77636e-15 -1.24524e-19 8.58788e-20 1.71758e-20
129000 8.88178e-16 4.44089e-16 0 8.58788e-21 4.29394e-21 0
130000 0 -1.24345e-14 1.04361e-14 0 -1.2023e-19 1.00908e-19
131000 9.76996e-15 -8.88178e-16 1.15463e-14 9.44667e-20 -8.58788e-21 1.11642e-19
132000 8.88178e-16 9.76996e-15 7.54952e-15 8.58788e-21 9.44667e-20 7.2997e-20
133000 3.55271e-15 -8.88178e-15 1.77636e-15 3.43515e-20 -8.58788e-20 1.71758e-20
134000 4.66294e-15 2.60902e-15 -2.66454e-15 4.50864e-20 2.52269e-20 -2.57636e-20
135000 4.44089e-16 -2.66454e-15 4.44089e-15 4.29394e-21 -2.57636e-20 4.29394e-20
136000 1.26565e-14 -4.44089e-16 -7.99361e-15 1.22377e-19 -4.29394e-21 -7.72909e-20
137000 -5.55112e-15 -5.77316e-15 7.10543e-15 -5.36742e-20 -5.58212e-20 6.8703e-20
138000 7.10543e-15 -9.76996e-15 -5.9952e-15 6.8703e-20 -9.44667e-20 -5.79682e-20
139000 -4.44089e-16 -3.55271e-15 2.0095e-14 -4.29394e-21 -3.43515e-20 1.94301e-19
140000 -5.55112e-16 1.11022e-15 -1.77636e-15 -5.36742e-21 1.07348e-20 -1.71758e-20
141000 2.66454e-15 1.66533e-15 -1.11022e-15 2.57636e-20 1.61023e-20 -1.07348e-20
142000 1.15463e-14 -3.10862e-15 -9.32587e-15 1.11642e-19 -3.00576e-20 -9.01727e-20
143000 -4.88498e-15 7.10543e-15 1.19904e-14 -4.72333e-20 6.8703e-20 1.15936e-19
144000 -3.55271e-15 -2.22045e-15 3.10862e-15 -3.43515e-20 -2.14697e-20 3.00576e-20
145000 5.55112e-15 -4.44089e-15 1.53211e-14 5.36742e-20 -4.29394e-20 1.48141e-19
146000 -4.44089e-15 -1.36557e-14 3.10862e-15 -4.29394e-20 -1.32039e-19 3.00576e-20
147000 -6.21725e-15 -3.9968e-15 3.55271e-15 -6.01152e-20 -3.86455e-20 3.43515e-20
148000 2.66454e-15 -1.13243e-14 -1.15463e-14 2.57636e-20 -1.09495e-19 -1.11642e-19
149000 1.02141e-14 -1.9984e-15 -1.55431e-15 9.87606e-20 -1.93227e-20 -1.50288e-20
150000 -5.10703e-15 1.35447e-14 -6.21725e-15 -4.93803e-20 1.30965e-19 -6.01152e-20
151000 8.10463e-15 7.54952e-15 8.77076e-15 7.83644e-20 7.2997e-20 8.48053e-20
152000 -7.77156e-15 5.55112e-15 -3.21965e-15 -7.51439e-20 5.36742e-20 -3.11311e-20
153000 -4.55191e-15 -5.77316e-15 2.66454e-15 -4.40129e-20 -5.58212e-20 2.57636e-20
154000 4.44089e-15 -1.55431e-15 -9.99201e-15 4.29394e-20 -1.50288e-20 -9.66136e-20
155000 1.59872e-14 6.43929e-15 4.21885e-15 1.54582e-19 6.22621e-20 4.07924e-20
156000 7.54952e-15 -9.76996e-15 2.66454e-15 7.2997e-20 -9.44667e-20 2.57636e-20
157000 1.46549e-14 -9.76996e-15 -1.33227e-15 1.417e-19 -9.44667e-20 -1.28818e-20
158000 6.66134e-16 -3.10862e-15 -2.44249e-15 6.44091e-21 -3.00576e-20 -2.36167e-20
159000 3.55271e-15 1.53211e-14 6.77236e-15 3.43515e-20 1.48141e-19 6.54826e-20
160000 1.35447e-14 -1.77636e-15 1.11022e-14 1.30965e-19 -1.71758e-20 1.07348e-19
161000 1.19904e-14 -5.55112e-15 3.55271e-15 1.15936e-19 -5.36742e-20 3.43515e-20
162000 4.21885e-15 -1.33227e-15 -2.08722e-14 4.07924e-20 -1.28818e-20 -2.01815e-19
163000 -1.33227e-15 -6.66134e-15 8.43769e-15 -1.28818e-20 -6.44091e-20 8.15849e-20
164000 -8.88178e-16 1.73195e-14 -9.32587e-15 -8.58788e-21 1.67464e-19 -9.01727e-20
165000 8.88178e-16 0 2.66454e-15 8.58788e-21 0 2.57636e-20
166000 0 6.66134e-16 6.66134e-15 0 6.44091e-21 6.44091e-20
167000 -2.22045e-15 -5.32907e-15 8.88178e-16 -2.14697e-20 -5.15273e-20 8.58788e-21
168000 1.66533e-14 6.32827e-15 -1.62093e-14 1.61023e-19 6.11886e-20 -1.56729e-19
169000 -1.33227e-14 9.54792e-15 3.10862e-15 -1.28818e-19 9.23197e-20 3.00576e-20
170000 4.66294e-15 -1.77636e-15 -3.10862e-15 4.50864e-20 -1.71758e-20 -3.00576e-20
171000 -2.22045e-16 4.44089e-15 7.10543e-15 -2.14697e-21 4.29394e-20 6.8703e-20
172000 7.77156e-15 1.04361e-14 7.10543e-15 7.51439e-20 1.00908e-19 6.8703e-20
173000 -4.88498e-15 -3.21965e-15 -1.98175e-14 -4.72333e-20 -3.11311e-20 -1.91617e-19
174000 -1.22125e-14 -4.44089e-15 -1.77636e-15 -1.18083e-19 -4.29394e-20 -1.71758e-20
175000 -7.32747e-15 1.08802e-14 9.99201e-15 -7.085e-20 1.05202e-19 9.66136e-20
176000 -4.66294e-15 -7.10543e-15 7.99361e-15 -4.50864e-20 -6.8703e-20 7.72909e-20
177000 9.32587e-15 1.35447e-14 -4.44089e-15 9.01727e-20 1.30965e-19 -4.29394e-20
178000 2.10942e-15 8.43769e-15 -3.33067e-16 2.03962e-20 8.15849e-20 -3.22045e-21
179000 6.66134e-16 -9.49241e-15 1.11022e-15 6.44091e-21 -9.1783e-20 1.07348e-20
180000 1.11022e-15 3.33067e-15 8.99281e-15 1.07348e-20 3.22045e-20 8.69523e-20
181000 1.45439e-14 -3.88578e-15 7.32747e-15 1.40627e-19 -3.7572e-20 7.085e-20
182000 -2.44249e-15 -5.55112e-15 -1.5099e-14 -2.36167e-20 -5.36742e-20 -1.45994e-19
183000 4.88498e-15 4.32987e-15 7.99361e-15 4.72333e-20 4.18659e-20 7.72909e-20
184000 8.88178e-16 1.19904e-14 -2.66454e-15 8.58788e-21 1.15936e-19 -2.57636e-20
185000 -1.22125e-14 -6.21725e-15 3.44169e-15 -1.18083e-19 -6.01152e-20 3.3278e-20
186000 7.77156e-15 -1.4877e-14 8.99281e-15 7.51439e-20 -1.43847e-19 8.69523e-20
187000 -7.54952e-15 -3.55271e-15 8.88178e-15 -7.2997e-20 -3.43515e-20 8.58788e-20
188000 5.77316e-15 -5.66214e-15 7.10543e-15 5.58212e-20 -5.47477e-20 6.8703e-20
189000 8.88178e-15 4.66294e-15 1.45994e-14 8.58788e-20 4.50864e-20 1.41163e-19
190000 -5.77316e-15 -9.10383e-15 -1.39888e-14 -5.58212e-20 -8.80258e-20 -1.35259e-19
191000 3.10862e-15 -6.66134e-16 5.55112e-15 3.00576e-20 -6.44091e-21 5.36742e-20
192000 -5.55112e-15 -2.22045e-16 -9.54792e-15 -5.36742e-20 -2.14697e-21 -9.23197e-20
193000 4.44089e-15 1.66533e-14 1.5099e-14 4.29394e-20 1.61023e-19 1.45994e-19
194000 3.55271e-15 -2.88658e-15 -4.10783e-15 3.43515e-20 -2.79106e-20 -3.97189e-20
195000 2.33147e-15 -1.42109e-14 -8.32667e-15 2.25432e-20 -1.37406e-19 -8.05114e-20
196000 -3.33067e-15 -3.55271e-15 -5.10703e-15 -3.22045e-20 -3.43515e-20 -4.93803e-20
