# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  11 0.105 2.45 0.0153293
  12 0.115 2.29 0.0146191
  13 0.125 3.37 0.0214875
  14 0.135 0.52 0.00320099
  15 0.145 0 0
  16 0.155 0 0
  17 0.165 1.33 0.00866711
  18 0.175 5.72 0.0361595
  19 0.185 3.76 0.0237201
  20 0.195 1.19 0.00757776
  21 0.205 0 0
  22 0.215 0 0
  23 0.225 2.35 0.0149825
  24 0.235 5.15 0.0325091
  25 0.245 1.5 0.0096018
  26 0.255 3.8 0.0237554
  27 0.265 2.2 0.0143069
  28 0.275 0 0
  29 0.285 0 0
  30 0.295 0 0
  31 0.305 0 0
  32 0.315 8.97 0.0584899
  33 0.325 71.08 0.453228
  34 0.335 168.03 1.06126
  35 0.345 179.94 1.14212
  36 0.355 202.92 1.28349
  37 0.365 198.9 1.26628
  38 0.375 206.24 1.31075
  39 0.385 201.25 1.27542
  40 0.395 200.99 1.27498
  41 0.405 208.28 1.3199
  42 0.415 196.24 1.24503
  43 0.425 197.46 1.25146
  44 0.435 206.87 1.31273
  45 0.445 203.14 1.28918
  46 0.455 210.8 1.33799
  47 0.465 219.07 1.38794
  48 0.475 197.16 1.25047
  49 0.485 212.39 1.3449
  50 0.495 195.4 1.24295
  51 0.505 187.37 1.18606
  52 0.515 208.96 1.32659
  53 0.525 203.03 1.29034
  54 0.535 194.65 1.23262
  55 0.545 208.92 1.32752
  56 0.555 208.93 1.32545
  57 0.565 203.09 1.28729
  58 0.575 196.04 1.24532
  59 0.585 212.27 1.34493
  60 0.595 200.36 1.27047
  61 0.605 198.22 1.26166
  62 0.615 200.6 1.26971
  63 0.625 206.25 1.30687
  64 0.635 202.54 1.28764
  65 0.645 207.21 1.31313
  66 0.655 186.25 1.18176
  67 0.665 149.12 0.942794
  68 0.675 43.77 0.279872
  69 0.685 0.34 0.00235234
  70 0.695 4.15 0.0261941
  71 0.705 3.02 0.0192385
  72 0.715 3.33 0.0211935
  73 0.725 2.52 0.0159344
  74 0.735 1.93 0.0122491
  75 0.745 0 0
  76 0.755 0 0
  77 0.765 4.31 0.0273011
  78 0.775 1.91 0.0122832
  79 0.785 2.77 0.0174398
  80 0.795 0.81 0.0051039
  81 0.805 3.16 0.0200174
  82 0.815 2.19 0.014048
  83 0.825 4.12 0.0260211
  84 0.835 1.73 0.0110034
  85 0.845 0 0
  86 0.855 1.65 0.0102429
  87 0.865 1.7 0.0112098
  88 0.875 2.65 0.0166096
  89 0.885 0.26 0.00179885
  90 0.895 4.84 0.030692
  91 0.905 5.2 0.0328723
  92 0.915 4.7 0.0297924
  93 0.925 0 0
  94 0.935 2.71 0.0170247
  95 0.945 0.29 0.00200641
  96 0.955 0.51 0.00352851
  97 0.965 10.3 0.0650872
  98 0.975 4.19 0.0265399
  99 0.985 0 0
  100 0.995 5.98 0.0375616
6000 100 7050.000000000002
  1 0.005 0 0
  2 0.015 0.17 0.00117617
