# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
113000 217.093 95.3515 4561.49 -5881.72 -1320.23 -5768.81 -7089.05
114000 222.331 91.2439 4671.57 -5674.87 -1003.3 -6085.4 -7088.7
115000 218.811 9.59427 4597.6 -5634.83 -1037.23 -6051.37 -7088.6
116000 220.402 -510.709 4631.02 -5556.47 -925.45 -6163.39 -7088.84
117000 224.009 -231.751 4706.83 -5634.58 -927.753 -6161.41 -7089.17
118000 220.803 247.154 4639.46 -5634.7 -995.239 -6093.66 -7088.9
119000 217.496 212.714 4569.96 -5501.49 -931.53 -6156.9 -7088.43
120000 225.113 -91.0164 4730.01 -5564.13 -834.119 -6254.45 -7088.57
121000 222.224 26.6378 4669.32 -5584.16 -914.838 -6174.08 -7088.92
122000 221.163 -92.8227 4647.02 -5571.91 -924.889 -6163.87 -7088.76
123000 224.949 112.323 4726.57 -5510.7 -784.13 -6304.27 -7088.4
124000 218.004 -229.998 4580.64 -5466.01 -885.364 -6203 -7088.37
125000 216.939 -75.2681 4558.27 -5425.79 -867.513 -6221.09 -7088.6
126000 219.52 -37.8475 4612.49 -5472.76 -860.276 -6228.37 -7088.64
127000 220.039 -169.66 4623.4 -5504.06 -880.66 -6207.89 -7088.55
128000 221.923 -208.111 4662.98 -5471.1 -808.129 -6280.36 -7088.49
129000 220.279 -117.791 4628.45 -5470.18 -841.736 -6246.65 -7088.39
130000 225.647 -79.8433 4741.22 -5369.87 -628.641 -6459.54 -7088.18
131000 227.46 112.144 4779.33 -5342.7 -563.37 -6524.93 -7088.3
132000 219.161 -23.7018 4604.95 -5371.71 -766.763 -6321.59 -7088.36
133000 217.552 104.715 4571.14 -5408.37 -837.226 -6251.44 -7088.67
134000 215.585 -154.627 4529.81 -5408.38 -878.57 -6210.08 -7088.65
135000 218.263 -221.951 4586.08 -5394.93 -808.849 -6279.84 -7088.69
136000 224.427 -20.8524 4715.61 -5407.62 -692.011 -6396.85 -7088.86
137000 221.499 54.3461 4654.08 -5381.48 -727.404 -6361.39 -7088.79
138000 221.372 -73.9932 4651.41 -5397.42 -746.008 -6342.7 -7088.71
139000 225.196 241.83 4731.77 -5482.3 -750.534 -6338.4 -7088.93
140000 221.734 158.622 4659.02 -5352.12 -693.107 -6395.56 -7088.67
141000 219.596 -88.3142 4614.1 -5492.05 -877.952 -6210.83 -7088.79
142000 221.758 -229.617 4659.53 -5593.98 -934.455 -6154.51 -7088.96
143000 218.821 34.08 4597.81 -5607.84 -1010.03 -6079.21 -7089.24
144000 222.174 122.602 4668.25 -5536.21 -867.957 -6221.03 -7088.98
145000 217.476 -26.227 4569.55 -5538.96 -969.407 -6119.4 -7088.81
146000 218.882 226.356 4599.09 -5577.82 -978.727 -6109.96 -7088.69
147000 220.487 99.2489 4632.81 -5570.7 -937.886 -6150.94 -7088.83
148000 222.732 47.9365 4679.98 -5595.48 -915.5 -6173.63 -7089.13
149000 224.854 107.823 4724.57 -5569.04 -844.468 -6244.74 -7089.2
150000 221.071 27.1831 4645.08 -5582.04 -936.953 -6152.3 -7089.25
151000 223.9 -14.7695 4704.52 -5590 -885.479 -6203.68 -7089.16
152000 220.846 11.595 4640.35 -5631.61 -991.265 -6098.05 -7089.31
153000 215.269 246.739 4523.17 -5596.19 -1073.02 -6015.96 -7088.98
154000 217.945 -147.332 4579.4 -5645.92 -1066.52 -6022.73 -7089.24
155000 219.925 46.0437 4621.01 -5646.25 -1025.24 -6064.05 -7089.29
156000 218.558 -202.32 4592.29 -5593.44 -1001.15 -6088.51 -7089.66
157000 217.312 244.144 4566.1 -5584.81 -1018.71 -6070.71 -7089.42
158000 220.916 65.4606 4641.82 -5557.74 -915.916 -6173.3 -7089.22
159000 217.492 -48.3609 4569.89 -5614.78 -1044.89 -6044.73 -7089.62
160000 216.842 188.812 4556.23 -5629.75 -1073.52 -6016.18 -7089.7
161000 220.039 73.1792 4623.4 -5629.7 -1006.3 -6083.04 -7089.34
162000 223.131 -99.0166 4688.37 -5609.67 -921.305 -6168.24 -7089.54
163000 221.954 -67.4656 4663.63 -5618.67 -955.037 -6134.92 -7089.95
164000 223.354 57.3287 4693.05 -5577.18 -884.136 -6205.62 -7089.76
165000 220.356 110.057 4630.07 -5536.87 -906.801 -6182.71 -7089.51
166000 220.038 -248.995 4623.38 -5507.36 -883.978 -6205.72 -7089.7
167000 220.224 -20.5321 4627.3 -5599.88 -972.58 -6116.93 -7089.51
168000 218.854 -111.03 4598.51 -5567.04 -968.535 -6121.01 -7089.55
169000 222.118 -168.764 4667.08 -5476.77 -809.697 -6279.49 -7089.19
170000 218.912 -191.818 4599.73 -5444.13 -844.403 -6245.2 -7089.6
171000 221.109 52.8079 4645.89 -5519.92 -874.033 -6215.38 -7089.41
172000 222.403 -67.7472 4673.06 -5509.56 -836.495 -6252.99 -7089.48
173000 217.451 -140.997 4569.02 -5401.01 -831.991 -6256.98 -7088.97
174000 218.337 0.348975 4587.63 -5417.39 -829.761 -6259.38 -7089.14
175000 222.994 -232.91 4685.48 -5459.7 -774.212 -6315.21 -7089.43
176000 222.303 -312.411 4670.96 -5453.9 -782.943 -6306.18 -7089.12
177000 218.944 -60.9172 4600.4 -5461.42 -861.021 -6228.38 -7089.4
178000 222.129 -0.103974 4667.31 -5540.12 -872.809 -6216.6 -7089.41
179000 219.83 -88.1396 4619 -5421.58 -802.577 -6286.63 -7089.21
180000 217.486 -248.323 4569.75 -5404.65 -834.895 -6254.22 -7089.12
181000 220.506 53.5873 4633.22 -5437.92 -804.7 -6284.58 -7089.28
182000 222.511 238.221 4675.33 -5488.57 -813.24 -6275.87 -7089.11
183000 215.782 -9.40815 4533.95 -5362.04 -828.087 -6260.84 -7088.92
184000 221.003 -45.284 4643.66 -5479.21 -835.56 -6253.77 -7089.33
185000 221.395 -145.248 4651.89 -5501.51 -849.613 -6239.74 -7089.35
186000 222.062 -320.341 4665.91 -5456.95 -791.04 -6297.84 -7088.88
187000 220.336 29.9915 4629.63 -5531.37 -901.738 -6187.57 -7089.3
188000 222.17 37.6753 4668.18 -5537.6 -869.418 -6219.8 -7089.22
189000 218.293 147.418 4586.71 -5561.48 -974.775 -6114.38 -7089.15
190000 216.845 49.75 4556.3 -5525.16 -968.865 -6120.34 -7089.21
191000 221.899 16.1145 4662.48 -5594.63 -932.148 -6157 -7089.15
192000 221.382 24.7622 4651.62 -5565.11 -913.491 -6175.83 -7089.32
193000 222.319 191.72 4671.3 -5520.37 -849.071 -6239.67 -7088.74
194000 222.357 79.6264 4672.11 -5493.23 -821.118 -6267.81 -7088.93
195000 219.262 -318.495 4607.07 -5599.58 -992.516 -6096.71 -7089.23
196000 220.307 80.7295 4629.04 -5600.93 -971.892 -6117.6 -7089.49
197000 218.649 241.606 4594.19 -5584.43 -990.242 -6099.07 -7089.31
198000 221.236 -142.304 4648.56 -5572.69 -924.131 -6164.59 -7088.72
199000 219.081 125.206 4603.27 -5547.36 -944.088 -6144.85 -7088.94
200000 221.064 -48.969 4644.94 -5591.99 -947.053 -6142 -7089.05
201000 218.989 -34.8498 4601.34 -5538.33 -936.987 -6152.17 -7089.16
202000 221.172 -52.2725 4647.2 -5595.31 -948.114 -6141.11 -7089.22
203000 220.721 -35.24 4637.74 -5555.46 -917.725 -6171.25 -7088.98
204000 217.777 45.4862 4575.86 -5545.05 -969.187 -6119.69 -7088.88
205000 221.294 149.231 4649.77 -5532.82 -883.053 -6205.87 -7088.92
206000 223.208 201.137 4689.99 -5554.86 -864.873 -6224.32 -7089.2
207000 218.313 116.14 4587.13 -5610.88 -1023.75 -6065.49 -7089.24
208000 217.69 40.852 4574.05 -5559.12 -985.074 -6104.18 -7089.25
209000 215.964 -126.661 4537.78 -5556.13 -1018.34 -6071.14 -7089.48
210000 221.151 -2.04689 4646.77 -5546.92 -900.152 -6189.35 -7089.5
211000 217.564 134.844 4571.4 -5497.3 -925.9 -6163.33 -7089.23
212000 222.107 -164.254 4666.85 -5452.59 -785.743 -6303.16 -7088.9
213000 220.667 -334.981 4636.59 -5459.77 -823.171 -6266.12 -7089.29
214000 218.392 176.233 4588.8 -5553.11 -964.302 -6125.11 -7089.41
215000 221.728 176.484 4658.89 -5493.57 -834.676 -6254.3 -7088.98
216000 218.844 -158.003 4598.29 -5453.68 -855.389 -6233.39 -7088.78
217000 222.244 -4.0205 4669.73 -5459.06 -789.331 -6299.51 -7088.84
218000 221.707 400.448 4658.45 -5450.26 -791.801 -6297.47 -7089.27
219000 216.035 -20.7464 4539.26 -5484.86 -945.604 -6143.51 -7089.12
220000 220.149 -259.197 4625.71 -5483.59 -857.879 -6231.09 -7088.97
221000 219.312 -241.305 4608.12 -5464.87 -856.746 -6232.41 -7089.16
222000 219.429 337.134 4610.59 -5468.53 -857.942 -6231.29 -7089.23
223000 221.202 -171.242 4647.83 -5432.74 -784.903 -6303.93 -7088.83
224000 220.178 -3.33643 4626.33 -5460.11 -833.783 -6255.07 -7088.85
225000 223.697 113.863 4700.27 -5498.35 -798.087 -6291.05 -7089.14
226000 221.228 -275.75 4648.39 -5511.49 -863.097 -6226.29 -7089.39
227000 222.03 -108.639 4665.23 -5493.48 -828.244 -6260.77 -7089.02
228000 216.279 522.993 4544.39 -5486.74 -942.354 -6146.61 -7088.96
229000 220.528 240.897 4633.68 -5555.62 -921.935 -6167.26 -7089.19
230000 217.38 -318.097 4567.53 -5466.15 -898.614 -6190.67 -7089.29
231000 220.949 238.036 4642.52 -5562.48 -919.954 -6169.47 -7089.42
232000 220.692 59.9073 4637.12 -5517.48 -880.353 -6208.88 -7089.23
233000 221.435 -297.169 4652.74 -5611.57 -958.824 -6130.6 -7089.42
234000 219.171 -93.9709 4605.17 -5613.25 -1008.08 -6081.43 -7089.51
235000 220.456 36.4033 4632.17 -5560.11 -927.934 -6161.48 -7089.42
236000 222.338 108.633 4671.7 -5557.83 -886.121 -6203.26 -7089.38
237000 217.77 20.8284 4575.71 -5568.43 -992.719 -6096.95 -7089.67
238000 218.092 171.244 4582.48 -5591.83 -1009.35 -6080.08 -7089.43
239000 218.277 19.3762 4586.37 -5553.53 -967.166 -6122.08 -7089.25
240000 222.038 -98.5397 4665.39 -5587.8 -922.407 -6167.11 -7089.52
241000 220.826 -47.7948 4639.93 -5526.82 -886.884 -6202.4 -7089.28
