# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050
  12 0.115 3.54 0.0225775
  13 0.125 2.24 0.0140144
  14 0.135 0.17 0.00117617
  15 0.145 0.49 0.00339014
  16 0.155 4.43 0.0275277
  17 0.165 3.04 0.0196528
  18 0.175 1.86 0.0116441
  19 0.185 2.18 0.0139098
  20 0.195 0.67 0.0046355
  21 0.205 2.99 0.018617
  22 0.215 2.24 0.0141524
  23 0.225 1.49 0.00949812
  24 0.235 1.61 0.0101904
  25 0.245 0 0
  26 0.255 1.66 0.0104501
  27 0.265 2.2 0.0145311
  28 0.275 5.14 0.0321122
  29 0.285 0 0
  30 0.295 0.25 0.00172966
  31 0.305 1.72 0.0107617
  32 0.315 17.07 0.110167
  33 0.325 84.72 0.537456
  34 0.335 184.11 1.16544
  35 0.345 194.82 1.23897
  36 0.355 184.11 1.16851
  37 0.365 192.47 1.21916
  38 0.375 198.64 1.26045
  39 0.385 188.49 1.19567
  40 0.395 198.24 1.25558
  41 0.405 192.81 1.22379
  42 0.415 189.84 1.20389
  43 0.425 202.26 1.28292
  44 0.435 196.95 1.24622
  45 0.445 202.7 1.29152
  46 0.455 206.56 1.30953
  47 0.465 215.12 1.36129
  48 0.475 206.29 1.30825
  49 0.485 210.72 1.33716
  50 0.495 208.74 1.325
  51 0.505 197.53 1.25404
  52 0.515 206.81 1.31461
  53 0.525 214.02 1.3538
  54 0.535 200.84 1.28062
  55 0.545 204.1 1.28829
  56 0.555 206.25 1.30628
  57 0.565 195.4 1.24272
  58 0.575 200.52 1.27278
  59 0.585 202.63 1.28417
  60 0.595 193.73 1.22996
  61 0.605 209.85 1.32935
  62 0.615 196.31 1.24671
  63 0.625 199.15 1.26204
  64 0.635 205.54 1.30462
  65 0.645 199.8 1.26649
  66 0.655 182.33 1.16032
  67 0.665 163.02 1.02765
  68 0.675 43.47 0.279866
  69 0.685 9.47 0.0605693
  70 0.695 1.6 0.0103282
  71 0.705 0 0
  72 0.715 0 0
  73 0.725 1.15 0.00769772
  74 0.735 5.99 0.0379241
  75 0.745 1.86 0.0114716
  76 0.755 0 0
  77 0.765 5.01 0.0318337
  78 0.775 0.99 0.00622852
  79 0.785 1.15 0.00724927
  80 0.795 3.18 0.02038
  81 0.805 5.03 0.0318168
  82 0.815 3.04 0.0191354
  83 0.825 2.36 0.0151034
  84 0.835 0.58 0.00382309
  85 0.845 2.66 0.0166788
  86 0.855 2.46 0.0156918
  87 0.865 2.88 0.0178042
  88 0.875 0.66 0.00456631
  89 0.885 4.87 0.0306409
  90 0.895 1.13 0.00742136
  91 0.905 0 0
  92 0.915 0 0
  93 0.925 3.21 0.020484
  94 0.935 5.79 0.0366093
  95 0.945 0.89 0.00567465
  96 0.955 2.11 0.0133565
  97 0.965 0.08 0.000553492
  98 0.975 5.69 0.0358485
  99 0.985 6.67 0.0426632
  100 0.995 3.9 0.0246025
5000 100 7050.000000000002
  1 0.005 2.38 0.0149658
  2 0.015 6.99 0.0443253
  3 0.025 2.32 0.0142402
  4 0.035 3.69 0.02415
  5 0.045 2.95 0.0183402
  6 0.055 3.36 0.0215218
  7 0.065 5.18 0.0330271
  8 0.075 3.85 0.0242738
  9 0.085 1.73 0.0109689
  10 0.095 1.38 0.00882331
  11 0.105 2.61 0.0163328
  12 0.115 0.19 0.00131454
  13 0.125 0.3 0.0020411
  14 0.135 2.24 0.0139972
  15 0.145 2.02 0.0128718
  16 0.155 3.77 0.0239273
  17 0.165 2.07 0.0134764
  18 0.175 1.6 0.00981071
  19 0.185 0.82 0.00515584
  20 0.195 3.78 0.0241172
  21 0.205 4.4 0.0278203
  22 0.215 0 0
  23 0.225 0 0
  24 0.235 1.27 0.00821749
  25 0.245 2.63 0.016385
  26 0.255 2.1 0.0134598
  27 0.265 0.8 0.00553492
  28 0.275 5.09 0.0317663
  29 0.285 0.51 0.00351126
  30 0.295 1.98 0.0121983
  31 0.305 1.42 0.00961751
  32 0.315 45.09 0.286969
  33 0.325 120.64 0.765845
  34 0.335 192.72 1.21928
  35 0.345 189.49 1.20345
  36 0.355 190.36 1.20425
  37 0.365 182.38 1.15899
  38 0.375 190.35 1.20778
  39 0.385 181.65 1.1547
  40 0.395 204.2 1.2916
  41 0.405 186.53 1.18532
  42 0.415 178.12 1.13257
  43 0.425 194.87 1.23302
  44 0.435 207.42 1.31654
  45 0.445 208.57 1.31744
  46 0.455 199.1 1.26827
  47 0.465 200.78 1.27474
  48 0.475 195.47 1.24053
  49 0.485 194.62 1.2351
  50 0.495 206.55 1.30903
  51 0.505 192.07 1.21698
  52 0.515 196.94 1.25329
  53 0.525 201.29 1.27409
  54 0.535 193.18 1.22686
  55 0.545 205.03 1.30131
  56 0.555 201.02 1.27115
  57 0.565 195.82 1.2454
  58 0.575 199.18 1.26411
  59 0.585 190.06 1.20293
  60 0.595 199.09 1.26427
  61 0.605 206.97 1.31163
  62 0.615 191.24 1.2136
  63 0.625 194.59 1.23748
  64 0.635 197.06 1.24993
  65 0.645 201.53 1.27589
  66 0.655 199.18 1.26422
  67 0.665 171.4 1.08369
  68 0.675 82.54 0.525909
  69 0.685 16.96 0.108802
