# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
121000 2.38698e-15 4.71845e-15 1.03251e-14 2.30799e-20 4.56231e-20 9.98341e-20
122000 1.19904e-14 3.44169e-15 -9.32587e-15 1.15936e-19 3.3278e-20 -9.01727e-20
123000 -3.10862e-15 -5.77316e-15 0 -3.00576e-20 -5.58212e-20 0
124000 -1.08802e-14 -2.22045e-15 -6.32827e-15 -1.05202e-19 -2.14697e-20 -6.11886e-20
125000 8.43769e-15 4.88498e-15 -2.9976e-15 8.15849e-20 4.72333e-20 -2.89841e-20
126000 -9.10383e-15 -8.43769e-15 1.22125e-15 -8.80258e-20 -8.15849e-20 1.18083e-20
127000 2.22045e-15 0 3.55271e-15 2.14697e-20 0 3.43515e-20
128000 -3.10862e-15 2.33147e-15 -1.46549e-14 -3.00576e-20 2.25432e-20 -1.417e-19
129000 1.33227e-15 3.9968e-15 -7.38298e-15 1.28818e-20 3.86455e-20 -7.13867e-20
130000 9.32587e-15 -7.54952e-15 2.44249e-15 9.01727e-20 -7.2997e-20 2.36167e-20
131000 -7.99361e-15 1.77636e-15 -3.9968e-15 -7.72909e-20 1.71758e-20 -3.86455e-20
132000 1.06581e-14 -1.31006e-14 -3.77476e-15 1.03055e-19 -1.26671e-19 -3.64985e-20
133000 3.10862e-15 4.32987e-15 8.88178e-15 3.00576e-20 4.18659e-20 8.58788e-20
134000 3.55271e-15 -5.32907e-15 -3.55271e-15 3.43515e-20 -5.15273e-20 -3.43515e-20
135000 -1.06581e-14 5.55112e-15 9.76996e-15 -1.03055e-19 5.36742e-20 9.44667e-20
136000 -1.23235e-14 -3.10862e-15 9.76996e-15 -1.19157e-19 -3.00576e-20 9.44667e-20
137000 6.21725e-15 3.88578e-15 8.88178e-16 6.01152e-20 3.7572e-20 8.58788e-21
138000 8.88178e-15 8.88178e-16 5.32907e-15 8.58788e-20 8.58788e-21 5.15273e-20
139000 -1.15463e-14 -7.10543e-15 0 -1.11642e-19 -6.8703e-20 0
140000 -4.44089e-15 -3.33067e-15 -2.77556e-15 -4.29394e-20 -3.22045e-20 -2.68371e-20
